text,label
"1 आदमीं को मारने पर गोडसे आतंकी हो सके है तो
17000 सिखो, 5000 भोपाली, 3000 तमिलों का कत्लेआम करवाने वाला भारत रत्न कैसे हो सके है?",hateful
"RT @Vishesh4: @jawaharyadavbjp जवाहर यादव, अगर हिम्मत है तो पूरा वीडियो डालो फिर तुम्हारे झूठ सामने आएंगे।
दीपेंदर ने साफ कहा, कि भाजपा और…",none
"RT @FunKeyBaat: #भगवा वस्त्र पहन कर मतदान नही कर सकते लेकिन बुरखा पहन के कर सकते हैं @yadavakhilesh ?

ये आज़मगढ़ है और यहाँ से ""टोटी चोर""…",hateful
Yey nina khothani labafazi benu phambili Finish and klaar 🍑🌊,profanity
RT @Rajeshbhanjan2: जब भी कोई सिकुलर कोंग्रेसी गुलाम चाटुकार चरणचाट चमचा 'गाय' और 'बछड़े' को लेकर भाजपा पर तंज कसता हुआ दिखे तो इतिहास के झ…,hateful
RT @AkalLess: काश ऐसा क़ानून अगर हमारे यहाँ होता तो पूरी @AamAadmiParty सर @ArvindKejriwal के साथ तिहाड़ जेल में निर्विरोध चुनाव लड़ रही हो…,offensive
"RT @Aaliya11_: मुस्लिम_ईसाईयों की जबरन
  नसबंदी कर देनी चाहिए
      साध्वी ठाकुर
 
मैडम जब अपनी जमीन 
  बंजर हो तो दूसरों 
की खड़ी फसल देखक…",hateful
"RT @neel23456: @TVMohandasPai मौन सिह- अरे ओ पचौरी तूने
कांग्रेस का नमक खाया है
पचौरी- बराबर बोले सरदार
मौन सिंह- नमक का हक अदा करने
का समय…",offensive
"@ECISVEEP 
उंगली में दाग अच्छे हैं। https://t.co/lRj1CYiHsY",none
"RT @BJP4India: आज जब मैं सिरमौर आया हूं तब 300 से ज्यादा लोकसभा क्षेत्रों का दौरा करके यहां आया हूं।

मैं हर प्रदेश में गया, वहां पहनावा बद…",none
"RT @ppbajpai: ममता तैयार हो रही है दिल्ली के लिए..!
पूर्वांचल में योगी का जादू गुम हो चला है..!
केजरीवाल ने एतिहासिक भूल तो नहीं कर दी..!…",none
"भारत के लिये बड़ी खबर
मसूद अजहर को ग्लोबल आतंकवादी घोषित किया गया",none
RT @ParwezK92714513: पति का कितना खयाल है इसे रोज स्वर्ग मे जाती है https://t.co/XDyqcT1A9U,none
"RT @AshrafFem: मौसम की वजह से 'विशेषज्ञ' हवाई हमले की तारीख़ बदलना चाहते थे। मैने उन्हें बताया कि बादल हैं, बारिश है, तो फ़ायदा है। बादलो…",none
"@ihirarafique chanda ♥️ tumhein tou pata hai, sometimes I don't know kese kahoon ya sunnay wala samjhega? Ya main samjha bhi paunga?",none
"RT @ChaturvediS2: कैसे चलाया जा सकता है,,, 
यह तो,, पेट से सीख कर आये हैं,,,अभिमन्यु ??????
👉परनाना जैसे अय्याशी के साथ,,
👉दादी जैसे इमरजें…",none
"RT @ZeeRepublic: तैमूर अली खान के बिगड़े बोल

कहा-बाकी लोग तो बस मोदी को हारते हैं विरोध करते हैं लेकिन छाती पर चढ़कर मूंग तो सिर्फ केजरीवा…",offensive
"RT @s_ambalika: @Yogesh_Bajaj1 @KChugh9 @PoojaYa10361065 Sir,. वो माँ जो कभी घर से बाहर भी नहीं जाती, जो किसी से फालतू मतलब नहीं रखती,, जो…",none
RT @neeta_pankaj: @ShilpiSinghINC आंटी राहुल गांधी को परधान मंती बनाने के लिए महागठबंधन में से कितने दल राजी हुए ..!,none
"RT @VeerLotus: मोदी जी को चिल्ला-2 चोर बोलना
और बेहिसाब बेलगाम गालियां देना
तथा उनकी छवि खराब करने को फैलाया
झूठ का बदबूदार रैता सब जायज था…",profanity
@PreetiSMenon @ArvindKejriwal @GautamGambhir @AtishiAAP चोर चोर मौसेरे भाई,offensive
RT @Payal_Rohatgi: #MothersDay यह दिन को आप सब आज मना रहे हो पूरे देश में मगर शायद आपको यह भी नहीं पता कि यह भारतीय संस्कृति नहीं है। यह we…,none
"RT @Aryavrta: #IndianJudiciaryAtStake 
बड़ी बहन के साथ दुष्कर्म हो तो क्या वो अपनी छोटी बहन को समर्पित करवाएगी❓

2007 तक आश्रम में रहें,201…",none
RT @BJP4India: बंगाल से ममता दीदी का जाना सुनिश्चित हो गया है। 23 मई के बाद बंगाल के अंदर परिवर्तन का सूर्योदय होने वाला है: श्री अमित शाह…,none
ममता के बंगाल मे जब इतनी मार पीट चुनाव  के दौरान होती है तो वहाँ राष्ट्रपति शासन लगा कर चुनाव कराना चाहिए।लोगों को मार कर लोकतंत्र ला रही है ममता।चुनाव के समय राष्ट्रपति का ही शासन पूरे देश में होना चाहिए ।,hateful
"RT @bijendra125: #जय_सिया_राम_जी
आपका दिन मंगलमय हो।
""#समय जब #नाच नचाता है ना,
तब #सगे_संबंधी भी #काेरियाेग्राफर बन जाते हैं।""
#जय_श्री_रा…",none
"#GHMSNNews *Breaking News* - केंद्रीय मंत्री नितिन गडकरी की तबीयत बिगड़ी 

https://t.co/KKpGpzDEaW",none
मेरा वोट बृजेश गोयल जी को झाड़ू अरविंद केजरीवाल जिंदाबाद https://t.co/CUPmLEIrJv,none
"@guddusinghdss ""करता नही है कोई कद्र यहाँ किसी के अहसासों की . . . 
हर किसी को फिक्र है बस मतलब के ताल्लुक़ातो की . . .!!!",none
@RanaAyyub तेली का तेल और मशालची की छाती,none
"RT @ranjeetadadwal: #LokSabhaElections2019
 @ECISVEEP सुनील अरोड़ा के वोट डालने के बाद तस्वीर खींचते। @IPSMadhurVerma
@JournoPranay @ashoke…",none
RT @SureshN12555265: सोनीया गांधी का एक और सच सामने @RahulGandhi यह कैसा घिनवना काम हुवा है तुम्हारे खानदान मे कहो ना झुठ है सबसे पहले अपना…,offensive
"RT @SinghAwantika: अगर सारे करोड़पति बन जाएंगे तो मजदूर अफ्रीका से पकड़ कर लाया जाएगा? अमेरिका जैसे विकसित देश में भी लोग मजदूरी करते है, ऐ…",none
"RT @rajamaka: पंडित नेहरू जब प्रघानमंत्री थे, उनके समय कुंभ में भगदड़ हुई थी लेकिन बदनामी के डर से यह खबर को बाहर ही आने नही दिया था !!

क्…",none
"झांसी, प्रियंका गांधी के रोडशो में नारे लगाने वालों के खिलाफ कार्रवाही, तीन को दिखाया बाहर का रास� https://t.co/anjc4at0vw",none
